School,1Q scoring,2Q scoring,3Q scoring,4Q scoring,EX scoring,Total scoring,MIN,M(2P),A(2P),%(2P),M(3P),A(3P),%(3P),FG%,M(FT),A(FT),&(FT),DK,S(FB),F(FB),OR(rebounds),DR(rebounds),TOT(rebounds),AS,ST,GD,BS,W(PF),WO(PF),TOT(PF),FD,TO,TF,WIN
,18,24,21,22,0,85,200,27,49,55,7,31,23,43,10,20,50,0,3,1,25,28,53,25,11,0,2,4,10,14,19,12,0,1
,16,14,10,26,0,66,200,15,43,35,10,28,36,35,6,7,86,0,3,3,13,24,37,15,10,0,2,12,7,19,14,15,0,0
,18,16,19,25,0,78,200,25,44,57,7,28,25,44,7,11,64,1,5,2,13,28,41,20,13,1,2,6,7,13,19,13,0,1
,7,10,22,17,0,56,200,19,46,41,4,23,17,33,6,10,60,0,7,7,14,25,39,8,10,0,1,6,13,19,13,17,0,0
K,26,21,24,20,0,91,200,17,39,44,18,31,58,50,3,5,60,0,6,3,14,35,49,31,5,1,3,9,10,19,12,13,0,1
,13,13,18,7,0,51,200,13,38,34,4,21,19,29,13,18,72,0,4,1,7,19,26,9,6,0,0,4,8,12,19,8,0,0
Y,17,19,19,17,0,72,200,18,38,47,8,30,27,38,12,15,80,1,4,1,15,35,50,15,5,3,4,12,12,24,17,14,0,1
,10,8,15,24,0,57,200,17,55,31,3,12,25,30,14,23,61,0,4,4,9,28,37,12,6,1,1,6,11,17,24,11,0,0
,15,17,13,20,0,65,200,10,22,45,8,24,33,39,21,24,88,0,3,2,4,37,41,16,1,1,3,15,10,25,25,20,0,1
,8,19,16,14,0,57,200,10,35,29,7,40,18,23,16,30,53,0,3,1,18,19,37,11,15,2,1,12,13,25,25,3,0,0
,23,18,21,17,0,79,200,25,46,54,6,20,30,47,11,16,69,0,8,2,13,31,44,28,3,0,2,10,10,20,17,15,1,1
,19,11,14,27,0,71,200,20,33,61,7,35,20,40,10,17,59,1,6,1,6,22,28,20,10,1,2,9,8,17,20,7,0,0
,11,13,13,15,0,52,200,18,30,60,4,30,13,37,4,5,80,0,3,0,12,21,33,12,9,2,6,11,11,22,16,19,1,0
,23,19,17,11,0,70,200,15,35,43,9,26,35,39,13,18,72,0,3,3,15,21,36,15,11,3,2,3,13,16,22,15,0,1
,21,23,22,19,0,85,200,23,48,48,8,17,47,48,15,25,60,0,3,1,15,20,35,23,9,1,1,18,14,32,22,14,0,1
,15,13,12,34,0,74,200,22,49,45,2,17,12,36,24,34,71,0,4,2,16,21,37,16,6,5,2,14,8,22,32,13,0,0
,14,16,10,18,0,58,200,10,34,29,10,36,28,29,8,10,80,0,2,3,10,15,25,20,7,1,2,12,10,22,13,10,0,0
,18,27,28,23,0,96,200,27,43,63,8,25,32,51,18,21,86,0,4,0,16,33,49,25,6,0,5,5,8,13,22,12,0,1
K,17,35,24,22,0,98,200,30,53,57,10,34,29,46,8,16,50,2,5,3,30,28,58,27,8,0,5,8,9,17,18,12,0,1
,18,16,18,9,0,61,200,18,41,44,4,22,18,35,13,16,81,0,1,5,10,15,25,14,4,3,4,10,8,18,17,13,0,0
,20,17,14,21,11,83,225,30,61,49,4,15,27,45,11,18,61,0,9,2,21,25,46,17,6,1,3,7,15,22,18,12,1,0
,11,21,22,18,16,88,225,26,54,48,10,35,29,40,6,12,50,0,4,2,21,25,46,23,6,3,3,10,8,18,22,9,0,1
,20,15,23,18,0,76,200,23,46,50,8,32,25,40,6,9,67,0,9,0,9,20,29,17,12,2,1,11,11,22,18,11,0,0
,23,22,29,22,0,96,200,36,46,78,4,21,19,60,12,18,67,0,8,2,8,38,46,20,8,1,1,5,13,18,22,20,0,1
,12,9,22,5,0,48,200,10,29,34,7,29,24,29,7,15,47,0,5,0,12,25,37,15,6,1,1,7,11,18,20,14,0,0
,20,17,7,16,0,60,200,15,32,47,7,25,28,39,9,14,64,0,4,3,7,26,33,17,10,0,4,8,12,20,18,11,0,1
,17,28,20,12,0,77,200,19,37,51,11,38,29,40,6,7,86,0,3,3,14,26,40,24,8,0,2,11,7,18,15,11,0,1
,26,11,11,17,0,65,200,23,49,47,3,18,17,39,10,19,53,0,3,2,11,29,40,25,6,1,4,4,11,15,18,15,0,0
K,14,15,17,16,0,62,200,9,31,29,12,31,39,34,8,12,67,0,3,4,11,27,38,15,11,2,5,7,13,20,15,12,0,1
Y,12,4,11,18,0,45,200,16,43,37,1,19,5,27,10,14,71,1,4,3,13,25,38,10,7,2,3,7,8,15,20,14,0,0
,13,13,9,11,0,46,200,11,33,33,6,24,25,30,6,7,86,0,3,1,9,19,28,15,6,0,2,7,12,19,12,14,0,0
,22,18,14,13,0,67,200,27,49,55,1,18,6,42,10,13,77,0,6,2,18,30,48,17,8,0,0,4,8,12,19,11,0,1
,23,21,18,14,0,76,200,17,39,44,10,32,31,38,12,19,63,0,4,1,23,20,43,13,9,3,5,13,15,27,23,8,1,1
,15,17,20,19,0,71,200,18,40,45,7,19,37,42,14,21,67,0,3,3,12,22,34,12,2,2,3,12,11,23,27,14,0,0
,16,17,13,13,0,59,200,17,35,49,7,24,29,41,4,8,50,0,4,2,5,23,28,21,4,4,3,3,11,14,14,19,0,0
Y,18,22,11,24,0,75,200,21,44,48,9,24,38,44,6,7,86,0,6,2,13,26,39,24,11,0,1,4,10,14,14,14,0,1
,27,21,20,28,0,96,200,37,58,64,3,14,21,56,13,18,72,0,5,1,18,24,42,24,12,0,2,7,5,12,16,11,0,1
,7,20,15,14,0,58,200,18,36,50,5,23,22,39,7,12,58,0,3,2,6,16,22,13,5,0,0,10,6,16,12,13,0,0
,23,19,12,21,0,75,200,28,39,72,3,31,10,44,10,14,71,0,6,3,14,32,46,26,10,1,4,7,7,14,17,10,0,1
,11,12,16,10,0,49,200,18,51,35,2,20,10,28,7,13,54,0,2,1,18,21,39,6,6,1,1,7,10,17,14,14,0,0
,9,23,16,13,0,61,200,17,32,53,6,29,21,38,9,14,64,0,1,1,6,12,18,15,10,2,1,10,8,18,18,10,0,0
,23,20,20,21,0,84,200,29,50,58,5,19,26,49,11,16,69,0,7,3,19,30,49,16,8,2,2,8,10,18,18,18,0,1
,13,12,11,20,0,56,200,18,34,53,6,23,26,42,2,8,25,0,0,2,5,15,20,11,4,1,2,3,9,12,14,15,0,0
K,30,24,18,24,0,96,200,32,46,70,10,28,36,57,2,5,40,2,12,1,16,26,42,28,14,0,2,4,10,14,12,10,0,1
Y,18,23,16,17,0,74,200,24,51,47,8,29,28,40,2,6,33,1,8,2,18,20,38,20,17,1,1,9,9,18,10,7,0,1
,9,18,17,6,0,50,200,10,21,48,5,22,23,35,15,19,79,0,2,0,7,23,30,8,6,1,0,3,7,10,18,24,0,0
,18,19,22,24,0,83,200,30,52,58,4,25,16,44,11,15,73,0,3,2,18,34,52,16,8,1,3,12,10,22,18,14,0,1
,14,6,21,7,0,48,200,14,34,41,3,22,14,30,11,23,48,0,3,3,5,23,28,11,7,1,1,8,10,18,22,16,0,0
,18,27,16,18,0,79,200,25,48,52,8,30,27,42,5,10,50,0,5,4,22,27,49,11,11,0,4,4,13,17,18,14,0,1
,10,10,13,16,0,49,200,17,45,38,3,16,19,33,6,8,75,0,1,4,8,19,27,12,9,1,3,6,12,18,17,17,0,0
,13,14,18,9,0,54,200,15,44,34,4,16,25,32,12,15,80,0,4,2,10,19,29,13,7,1,1,7,11,18,20,16,0,0
K,23,11,18,14,0,66,200,17,36,47,8,26,31,40,8,14,57,0,6,2,14,25,39,20,9,2,5,8,12,20,18,15,0,1
,17,16,18,19,0,70,200,21,51,41,6,29,21,34,10,16,63,0,5,2,20,22,42,20,10,0,3,2,10,12,16,9,0,0
,18,21,17,24,0,80,200,31,47,66,5,22,23,52,3,4,75,0,7,3,8,27,35,22,7,1,4,8,8,16,12,11,0,1
,17,15,20,18,0,70,200,18,45,40,7,22,32,37,13,19,68,0,5,3,14,25,39,18,5,3,5,12,7,19,22,10,0,1
,16,19,11,14,0,60,200,13,36,36,7,25,28,33,13,21,62,0,2,4,14,22,36,17,7,1,2,10,12,22,19,13,0,0
Y,24,19,18,25,0,86,200,27,45,60,9,22,41,54,5,8,63,1,7,2,12,27,39,27,6,0,5,6,8,14,12,16,0,1
,13,10,9,36,0,58,200,17,45,38,5,25,20,31,9,12,75,0,5,6,15,14,29,17,8,1,3,4,8,12,14,10,0,0
,25,25,28,7,0,85,200,27,50,54,9,20,45,51,4,5,80,0,10,1,16,13,29,22,20,0,2,6,9,15,7,13,0,1
,11,22,12,24,0,69,200,18,27,67,8,28,29,47,9,10,90,0,5,2,10,14,24,19,10,0,3,3,4,7,15,23,0,0
,26,15,12,12,0,65,200,20,36,56,6,22,27,45,7,11,64,0,3,0,11,26,37,11,9,0,1,10,11,21,11,19,0,0
,21,24,19,11,0,75,200,17,42,40,9,30,30,36,14,19,74,0,3,2,19,22,41,14,8,3,1,6,5,11,21,13,0,1
,19,12,20,27,0,78,200,23,46,50,9,28,32,43,5,8,63,0,3,1,14,18,32,21,5,3,0,8,10,18,16,12,0,0
,31,24,26,20,0,101,200,22,35,63,15,39,38,50,12,15,80,1,8,1,18,30,48,28,4,1,2,5,11,16,18,15,0,1
,20,15,19,6,0,60,200,13,29,45,9,25,36,41,7,10,70,0,2,1,10,14,24,16,15,2,2,5,14,19,16,16,0,1
Y,16,9,20,5,0,50,200,15,28,54,5,19,26,43,5,10,50,0,5,2,11,15,26,13,10,2,4,5,11,16,19,20,0,0
,16,17,21,28,0,82,200,13,29,45,15,44,34,38,11,15,73,0,6,3,18,20,38,24,7,2,2,4,12,16,17,10,0,1
,15,17,14,23,0,69,200,18,32,56,9,26,35,47,6,8,75,0,4,2,5,20,25,19,4,2,2,8,9,17,16,12,0,0
K,29,16,23,23,0,91,200,32,50,68,6,26,23,53,5,9,56,2,11,1,15,19,34,27,12,0,5,10,10,20,15,9,0,1
,17,16,11,20,0,64,200,11,30,37,9,23,39,38,15,20,75,0,0,1,10,19,29,12,5,2,4,7,7,14,19,21,0,0
,17,20,19,18,0,74,200,15,34,44,10,30,33,39,14,21,67,0,8,3,15,21,36,22,4,0,5,8,9,17,20,11,0,1
,20,13,17,21,0,71,200,22,44,50,6,26,23,40,9,13,69,1,5,3,14,18,32,20,7,1,5,12,8,20,17,8,0,0
,20,19,26,17,0,82,200,26,46,57,5,17,29,49,15,20,75,0,8,4,17,28,45,23,8,1,1,4,13,17,18,17,0,1
,17,17,12,22,0,68,200,18,37,49,9,38,24,36,5,7,71,0,3,3,13,13,26,23,9,5,2,11,7,18,17,11,0,0
,25,21,15,22,0,83,200,24,46,52,6,13,46,51,17,26,65,0,8,2,12,28,40,15,10,0,4,8,11,19,27,19,1,1
,13,12,26,16,0,67,200,19,36,53,7,36,19,36,8,15,53,0,1,3,15,15,30,15,11,2,2,14,13,27,19,19,1,0
,19,17,17,20,0,73,200,29,53,55,3,24,13,42,6,13,46,0,8,6,12,28,40,11,7,2,3,5,11,16,16,12,0,0
,22,17,27,21,0,87,200,23,43,53,12,40,30,42,5,8,63,0,5,4,15,33,48,19,9,0,3,8,8,16,16,11,0,1
,11,14,11,19,0,55,200,17,39,44,6,22,27,38,3,9,33,0,5,0,12,27,39,19,5,3,5,7,7,14,17,13,0,1
,17,11,15,10,0,53,200,10,27,37,7,34,21,28,12,14,86,0,0,2,11,27,38,13,5,3,2,5,12,17,14,11,0,0
,13,11,19,12,0,55,200,21,42,50,1,17,6,37,10,15,67,0,7,1,4,19,23,13,7,0,1,3,11,14,15,13,0,0
Y,28,20,17,13,0,78,200,19,39,49,12,27,44,47,4,4,100,1,3,3,12,31,43,19,7,0,2,9,6,15,14,15,1,1
,17,23,19,9,0,68,200,16,39,41,9,27,33,38,9,14,64,0,3,1,12,25,37,17,5,0,2,9,5,14,17,10,0,1
K,14,26,16,11,0,67,200,23,47,49,3,20,15,39,12,16,75,2,6,6,13,21,34,15,9,0,6,7,10,17,14,9,0,0
,16,10,20,16,0,62,200,23,55,42,3,21,14,34,7,12,58,0,3,2,20,28,48,17,6,0,3,3,11,14,13,8,0,1
,17,21,14,9,0,61,200,20,39,51,6,40,15,33,3,7,43,1,5,2,23,25,48,23,5,0,7,6,7,13,14,11,0,0
K,22,16,27,16,0,81,200,21,33,64,9,29,31,48,12,16,75,0,11,0,13,25,38,21,12,2,10,8,7,15,19,13,0,1
,8,14,10,19,0,51,200,14,44,32,4,16,25,30,11,16,69,0,1,5,13,18,31,13,9,0,2,9,10,19,15,18,0,0
,24,31,25,24,0,104,200,27,53,51,12,33,36,45,14,16,88,0,11,6,16,39,55,26,10,0,2,3,4,10,16,13,0,1
,17,18,17,18,0,70,200,21,48,44,6,30,20,35,10,12,83,0,11,6,9,29,38,16,9,1,2,9,7,16,10,14,0,0
,24,14,20,10,0,68,200,18,34,53,8,25,32,44,8,12,67,0,3,1,11,26,37,17,3,0,5,9,9,18,17,16,0,0
,22,16,21,18,0,77,200,22,55,40,8,19,42,41,9,17,53,0,2,4,14,20,34,22,11,1,2,6,11,17,18,7,0,1
,18,15,17,10,0,60,200,13,29,45,7,26,27,36,13,15,87,0,1,2,8,25,33,17,4,0,7,6,11,17,17,16,0,0
